ulasan;truth_label;confidence
tidak bisa verifikasi akun lewat wa selalu eror ketika mau meminta kode verifikasi;negative;7,97E+15
Sangat membantu;positive;6,69E+15
ini gimana caranya kalau lupa sandi  email mau login via no tlp jg gk bisa daftar lgi  ktp  akun;neutral;9,67E+15
moga bisa menjembatani warga dengan pengurus atau perangkat;neutral;9,93E+13
min mau daftar koq nik sdh terdaftar bagaimana mengatasinya suwoon min;neutral;9,88E+15
aplikasi tidak bisa di kliktidak bisa di buka terutama yg ke poli umum puskesmas;negative;9,98E+15
cara login lagi gimana min utk pengguna lama yang otomatis terlogout karena update dan lupa pasword tidak bisa;neutral;9,75E+15
ank sy lulus d ingin lnjut d gk ada biaya ank sy llus coumpoud di pens its;neutral;9,98E+15
harusnya untuk aplikasi saat lupa password berdasarkan nik bukan email  username sebab nilai pembandingnya  nik untuk  akun dengan begitu bantuan lanjutan ke siola hanya saat pemilik nik kehilangan akses email  atau akses pada nomor hapenya;neutral;5,83E+14
jv jv ku l ny;neutral;9,94E+15
sy kasih b dulu soalny kemarin laporan aspal ambles depan toko yg mengakibatkan genangan air nyiprat sampai kedalam toko dan sehari kemudian dibenerin;neutral;9,60E+15
aplikasi g jelasblm pernah daftar tp keterangan nik sudah terpakai;negative;9,98E+15
disitus username nya bisa dibuat login pindah ke aplikasi ini buat login username akun tidak terdaftar permudah urusan rakyatnya warganya  jgn dipersulit warganya;neutral;9,97E+15
iki vivi sumanti ada mau;neutral;9,98E+15
assalamualaikum mau tanya akun saya lupa sandi ya untuk mengurus ya bagaimana ya bapakibu;neutral;9,94E+15
pada saat buka alplikask wargaku muter;negative;9,99E+15
untuk verifikasi no hp harus lewat brower dulu;neutral;9,99E+14
tidak bisa input pengajuan karena kamera tidak terdeteksi;negative;8,96E+15
aplikasi wajib bagi seluruh kota di indonesia;positive;9,90E+15
gabisa daftar akun gimana solusinya null terus;negative;6,54E+14
mempermudah urusan tanpa harus mondar mandir k kantor pelayanan publik;positive;6,01E+15
mantabb tanggapannya langsung direspon terima kasih pak wali erie cahyadi;positive;9,32E+15
cukup solutif karna sekali lapor urusan dengan kelurahan langsung ditangani;positive;5,05E+15
di xiaomi  android  mui  kamera tidak bisa dibuka;negative;8,79E+15
saya belum pernah daftar tapi koq ada pemberitahuan  nik  akun  padahal saya belum pernah daftar sama sekalian;negative;9,95E+15
username nya tolong di tampilkan dong mau masuk sswalfa di web lupa username  mau reset username juga gbisa;negative;9,98E+15
daftar akun e ae uwangel cak aplikasi opo iki cak;negative;9,98E+15
tolong usulan saya yg lewat aplikasi di tindak lanjuti karena selama ini saya belum pernah mendapat bansos dan pengajuan mulai  saya menulis pengaduan  dan belum terverifikasi dan belum ada survei ke rumah saya yang rsss dan berpenghasilan rendah tolong bapak walikota eri cahyadi saya mengucapkan terimakasih;neutral;9,29E+15
splash screen time out;negative;9,82E+15
mohon penyelesaian keluhan agar selesai dari kedua belah pihak agar keluhan sudah terselesaikan dengan baik atau tidak sesuai dengan laporan yang dinginkan;neutral;8,71E+15
belum ada komentar yang ada;neutral;8,57E+15
seharusnya aplikasi ini bisa jadi tempat pengaduan dan pengajuan bagi warga surabaya yg butuh bantuan;neutral;9,82E+15
aplikasi adminduk yang bisa diakses cm pemutakhiran gelar aneh;negative;9,98E+15
tidak ada pusat bantuannya sebelum login atau daftar maaf saya kasih bintang  karena saya ingin daftar namun no ktp saya sudah terpakai namun alamat email saya tidak tau tolong di kasih lupa pasword via nomer telponwa;negative;9,98E+15
ngga bisa isi kecamatan di menu pendaftaran catin sudah klik cari tp tetap saja;negative;9,99E+15
gak bisa di pakai mohon di perbaiki kalau mau sungguh;negative;9,82E+15
aplikasi masih perlu perbaikan total;negative;9,94E+15
tolong ditambahi fitur tanggapan balik setelah kita direspon oleh dinas terkait sehingga komunikasi bisa dibangun  arah  suwun;negative;9,97E+15
membangun kota mulai dari rt rw tingkat kelurahan dlm rangka mengendalikan banjir;positive;9,97E+15
gak bisa upload foto pdhalsudah aktifin kamera;negative;9,97E+15
utk keterangan warga miskin sebaiknya d ganti masyarakat berpenghasilan rendah seperti semula;neutral;9,98E+15
