truth_label;confidence;ulasan
negative;7,97E+15;verifikasi akun wa eror kode verifikasi
positive;6,69E+15;Sigap tanggap mengatasi keluhan
neutral;9,67E+15;gimana lupa sandi email login via no tlp jg gk daftar lgi ktp akun
neutral;9,93E+13;moga menjembatani warga pengurus perangkat
neutral;9,88E+15;min daftar koq nik sdh terdaftar mengatasinya suwoon min
negative;9,98E+15;aplikasi kliktidak buka yg poli puskesmas
neutral;9,75E+15;login gimana min utk pengguna otomatis terlogout update lupa pasword
neutral;9,98E+15;ank sy lulus d lnjut d gk biaya ank sy llus coumpoud pens its
neutral;5,83E+14;aplikasi lupa password berdasarkan nik email username nilai pembandingnya nik akun bantuan lanjutan siola pemilik nik kehilangan akses email akses nomor hapenya
neutral;9,94E+15;jv jv ku l ny
neutral;9,60E+15;sy kasih b soalny kemarin laporan aspal ambles toko yg mengakibatkan genangan air nyiprat kedalam toko sehari dibenerin
negative;9,98E+15;aplikasi g jelasblm daftar tp keterangan nik terpakai
neutral;9,97E+15;disitus username nya login pindah aplikasi login username akun terdaftar permudah urusan rakyatnya warganya jgn dipersulit warganya
neutral;9,98E+15;iki vivi sumanti
neutral;9,94E+15;assalamualaikum akun lupa sandi ya mengurus ya ya bapakibu
negative;9,99E+15;buka alplikask wargaku muter
neutral;9,99E+14;verifikasi no hp brower
negative;8,96E+15;input pengajuan kamera terdeteksi
positive;9,90E+15;aplikasi wajib kota indonesia
negative;6,54E+14;gabisa daftar akun gimana solusinya null
positive;6,01E+15;mempermudah urusan mondar mandir k kantor pelayanan publik
positive;9,32E+15;mantabb tanggapannya langsung direspon terima kasih wali erie cahyadi
positive;5,05E+15;solutif karna lapor urusan kelurahan langsung ditangani
negative;8,79E+15;xiaomi android mui kamera dibuka
negative;9,95E+15;daftar koq pemberitahuan nik akun daftar
negative;9,98E+15;username nya tolong tampilkan masuk sswalfa web lupa username reset username gbisa
negative;9,98E+15;daftar akun e ae uwangel cak aplikasi opo iki cak
neutral;9,29E+15;tolong usulan yg aplikasi tindak lanjuti bansos pengajuan menulis pengaduan terverifikasi survei rumah rsss berpenghasilan rendah tolong walikota eri cahyadi terimakasih
negative;9,82E+15;splash screen time out
neutral;8,71E+15;mohon penyelesaian keluhan selesai belah keluhan terselesaikan sesuai laporan dinginkan
neutral;8,57E+15;komentar
neutral;9,82E+15;aplikasi pengaduan pengajuan warga surabaya yg butuh bantuan
negative;9,98E+15;aplikasi adminduk diakses cm pemutakhiran gelar aneh
negative;9,98E+15;pusat bantuannya login daftar maaf kasih bintang daftar no ktp terpakai alamat email tau tolong kasih lupa pasword via nomer telponwa
negative;9,99E+15;ngga isi kecamatan menu pendaftaran catin klik cari tp
negative;9,82E+15;gak pakai mohon perbaiki sungguh
negative;9,94E+15;aplikasi perbaikan total
negative;9,97E+15;tolong ditambahi fitur tanggapan direspon dinas terkait komunikasi dibangun arah suwun
positive;9,97E+15;membangun kota rt rw tingkat kelurahan dlm rangka mengendalikan banjir
negative;9,97E+15;gak upload foto pdhalsudah aktifin kamera
neutral;9,98E+15;utk keterangan warga miskin d ganti masyarakat berpenghasilan rendah
negative;9,77E+15;akte kelahiran kk sayang diunduh
negative;9,99E+15;tolong pengaduan petugas kebersihansampah kampung ditampilkan
neutral;9,98E+15;pelayanan pengaduan respon cepat yg lambat ditingkatkan instansi berkoordinasi terkait aduan masyarakat
positive;9,91E+15;membantu periksa puskesmas ambil no antrian online hadir sesuai tentukan
negative;8,87E+15;aplikasinya berubah masuk isi user name pasword
neutral;9,47E+15;dear pemkot surabaya tolong apk perluas warga lokalsurabayatetapi mencakup warga kota tinggal surabaya kontrak kost terima kasih
negative;6,46E+15;parah lupa user name password tdk solusi bikin akun tdk
negative;9,97E+15;knp kode odp ya gag diisi syarat ya pengaduan kode odp ya wajib diisi mhn diperbaiki
negative;8,21E+15;bpk walikota gubenure endih bantuane wargamu jok bidek ae
neutral;9,08E+15;membantu kode odp isi mengupload data isi mohon diperbaiki
negative;6,22E+15;dokumen yg selesai download
negative;9,98E+15;cek status warga penerima mbr tdk berfungsi
negative;9,89E+15;mengalami susah unduh lihat dokumen mohon ditingkatkan kendala teratasi kalo peningkatan update bintang terimakasih
negative;9,71E+15;bintang nunggu laporan ditidaklanjuti
neutral;9,96E+15;daftar pake nik udah data udah terekam database ga isi alamat lengkap
negative;9,94E+15;masuk
negative;7,19E+15;tdk masuk data respon
negative;5,69E+15;daftar akun muncul nik sesuai wilayah surabaya nik ktp xxxxxxxxxxapa keliru
negative;9,33E+15;lumayan komplit kesulitan login berkalikali tertera password nama salah perbaiki layanannya lupa password dikasih kode otp via email
negative;9,99E+15;update versi terbaru menu pengaduan dibuka keterangannya memuat data loading
negative;9,42E+15;daftar ae g isok
positive;9,38E+15;malem ngajuin pengaduan paginya langsung tindak bangga jd warga surabaya
negative;5,33E+15;kasih bintang aja yasoalnya datanya sesuai dgn yg kelurahansetelah download data mbrnya berubah terdaftar hi hi hihiiiipemkot pemkot
negative;8,17E+15;data mbr tdk dgn yg kelurahan aplikasi masuk dlm mbr update sdh masuk dlm mbr tp dlakukan pengecekan kk nik kelurahan mbr yg
negative;9,67E+15;aplikasi e pemutakhiran data aplikasi wargaku surabaya diaksesdilihat
positive;5,07E+15;aplikasi bagus melaporkan fasilitas publik surabaya
positive;9,68E+15;apik langsung d tanggapi
positive;9,43E+15;aplikasi membantu komunikasi warga dgn pemerintah
negative;7,89E+15;usul blt koq dijawabnya usulan diterima nggak blt nya mohon bantuannya berwenang
positive;9,98E+15;jooss laporan warga wisma tirta agung asri langsung ditindaklanjuti
negative;9,37E+15;daftar nomer nik salah nomer nik masukkan sesuai katepe
negative;9,19E+15;bintang udah setahun gada kepastian apk bantu pengangguran
negative;9,93E+15;bintang dlmau coba download ulang krn kemarin ga bs dpake antri online pkmpdhl sblmnya bsmoga skr bs stlh dwnld ulang
negative;5,56E+15;perbaiki komplain terkait sertifikat vaksin tombol upload ktp tombol bukti vaksin ditekan terimakasih
negative;9,60E+15;login akun gabisa ery cahyadi gimana inimohon diperbaiki
negative;8,93E+15;aplikasi opo iki daftar ae gak isok
positive;9,94E+15;okokbisa login pakterima kasih
negative;9,96E+15;mendaftar tolong utk pemkot surabaya utk diperhatikan digitalisasi modern sukses lancar utk warga surabaya terima kasih
negative;6,21E+15;daftar akun gk ya
neutral;9,99E+15;petujuk amel kunci pasbor
neutral;9,81E+14;tolong kasih riwayat pencaharian habis daftar antrian puskesmas online nomor antrian lupa screenshot download cari daftar riwayatnya
neutral;9,99E+15;coba mendaftar puskesmas
neutral;9,16E+14;mohon penertiban bangunan jl ngagel dadi bangunan yg mempersempit jalan terima kasih
positive;9,44E+15;perjinan cepat diprosesasal persyaratan berkas lengkap
negative;9,98E+15;pengaduan sertifikat vaksin suwi eram tanggapane aplikasi opoooooo iki gedabrus
neutral;9,96E+15;laporanusulan bansos verifikasi
neutral;9,71E+15;bpk eri cahyadi walikota surabaya mohon bantuannya mengurus surat sertifikat hak milik tanah terkendala sikap lurah balaskrumprik wiyung surabaya barat surat pengurusan sertifikat perhatian ucapkan terima kasih
negative;9,48E+15;sek angele ngelebokno nik ktp jare gak terdaftar lak g akoni penduduk surabaya yowes pindah penduduk konoha
negative;9,99E+15;gak instal
neutral;8,39E+15;udah ngisi nik nik terdeteksi nik surabaya lupa kalo warga negara kongo selatan
neutral;8,83E+15;kesini pengaduan perihal sertifikat vaksin yg blum muncul kasih bintang klo tanggapi keluhan sukses naikkan okey
neutral;9,98E+14;kalo utk mengirim video gambar obyek laporan
negative;9,99E+15;mohon kasih ganti password tolong adakan ganti password gimana
negative;9,98E+15;bikin akun nik warga surabaya aplikasi tertulis nik ditemukan silahkan mendaftar akun nik surabayatolong tindak nya
negative;8,39E+14;gak daftar daftar tulisan eror solusinya
negative;9,45E+15;mendaftar nik nya tdk terdaftar warga surabaya gmn
negative;9,91E+15;servernya erorr ya daftar ndak trs mohon penjelasannya
negative;9,94E+15;unggas file ya pdhl jadikan pdf file kk ktp dibantu
negative;9,86E+14;gabisa login ud hub wa nanya klo gabisa login ud dksh username pswrdtetep aja ga login tlg d bantu min mksh
negative;9,01E+15;aplikasinya gk dibuka minggu ya
